User_Id,Place_Id,Place_Ratings
1,9,3
1,4,2
1,5,5
1,33,3
1,6,2
1,20,5
1,18,2
1,19,5
1,1,3
1,21,3
1,31,5
1,7,5
1,30,4
1,8,2
1,15,3
1,27,5
1,22,2
1,14,2
2,11,2
2,2,5
2,16,4
2,23,3
2,17,4
2,31,3
2,10,5
2,9,2
2,5,2
2,15,2
2,29,5
2,3,2
2,6,3
2,33,5
2,4,5
2,18,4
2,27,2
2,30,2
2,24,3
3,19,5
3,17,5
3,13,5
3,4,3
3,32,5
3,14,2
3,11,3
3,12,2
3,16,2
3,20,2
3,2,3
3,33,4
3,23,2
3,18,4
3,3,5
3,29,4
3,8,2
3,6,2
3,24,4
3,26,5
3,28,5
4,16,2
4,2,2
4,30,4
4,4,4
4,14,3
4,8,5
4,1,3
4,20,3
4,3,3
4,9,5
4,15,4
4,23,3
4,6,3
4,10,2
4,32,3
4,25,2
4,18,3
4,5,5
4,22,5
4,29,2
5,13,4
5,2,2
5,28,5
5,21,2
5,15,3
5,0,5
5,26,4
5,9,5
5,30,3
5,4,3
5,27,3
5,23,2
5,17,2
5,33,3
5,29,2
5,7,4
5,11,4
5,20,2
5,6,4
5,25,4
5,12,3
6,25,4
6,28,2
6,8,2
6,15,2
6,24,2
6,30,5
6,0,4
6,19,2
6,5,5
6,6,5
6,14,5
6,11,4
6,20,5
6,17,2
6,4,4
6,26,3
6,2,2
7,17,5
7,31,3
7,9,3
7,24,3
7,22,5
7,2,4
7,13,5
7,27,4
7,33,5
7,20,4
7,12,3
7,3,5
7,26,4
7,18,4
7,11,5
7,5,2
8,22,5
8,29,3
8,18,2
8,16,5
8,0,4
8,30,5
8,31,4
8,11,2
8,3,3
8,19,5
8,21,5
8,25,4
8,7,5
8,28,3
8,32,3
9,28,3
9,26,4
9,32,4
9,21,4
9,30,3
9,8,5
9,4,4
9,9,4
9,2,3
9,7,3
9,29,3
9,15,4
9,27,4
9,25,4
9,18,4
9,20,3
9,12,5
9,3,2
9,0,2
9,1,5
10,9,3
10,2,4
10,32,5
10,12,2
10,8,4
10,27,5
10,4,3
10,18,5
10,22,5
10,7,4
10,29,5
10,1,5
10,30,3
10,31,3
10,26,4
10,33,3
10,23,2
11,25,2
11,22,2
11,4,3
11,5,3
11,3,5
11,16,5
11,7,2
11,1,4
11,2,2
11,29,4
11,15,4
11,14,2
11,32,4
11,20,3
11,13,2
11,6,5
11,11,3
12,21,3
12,24,3
12,27,2
12,32,3
12,15,5
12,29,5
12,26,5
12,22,4
12,2,4
12,4,5
12,13,5
12,12,4
12,31,2
12,33,5
12,5,4
12,3,4
12,6,5
12,18,5
12,30,3
12,7,5
12,0,5
12,14,4
12,28,3
13,24,2
13,31,2
13,14,4
13,10,5
13,20,2
13,12,5
13,25,2
13,22,5
13,27,4
13,7,5
13,21,2
13,29,5
13,32,2
13,18,2
13,4,3
13,8,2
13,6,5
14,33,5
14,19,3
14,14,4
14,20,2
14,16,4
14,4,2
14,23,4
14,21,5
14,2,5
14,28,3
14,22,2
14,31,3
14,11,2
14,26,5
14,32,3
14,8,4
14,29,3
14,3,5
14,27,5
14,25,3
14,1,3
15,26,3
15,5,3
15,22,5
15,2,5
15,27,3
15,8,2
15,23,5
15,25,5
15,0,3
15,29,4
15,17,4
15,6,3
15,21,2
15,3,4
15,12,2
15,15,2
15,10,2
15,1,3
15,9,4
15,20,3
16,26,2
16,0,2
16,20,2
16,21,3
16,33,4
16,5,2
16,31,3
16,14,2
16,3,4
16,6,5
16,11,2
16,19,5
16,28,4
16,30,4
16,16,2
16,10,4
16,7,3
16,32,5
17,16,4
17,33,2
17,32,5
17,29,5
17,10,5
17,31,4
17,19,2
17,12,5
17,2,4
17,3,2
17,18,4
17,11,3
17,30,5
17,27,4
17,6,4
17,24,3
17,13,4
17,9,3
17,7,4
17,15,3
17,1,3
17,17,4
18,0,3
18,26,2
18,12,5
18,15,4
18,1,3
18,3,4
18,20,4
18,6,5
18,27,2
18,22,4
18,31,5
18,8,3
18,16,4
18,4,2
18,11,4
18,33,5
18,17,4
18,5,2
18,18,2
18,7,4
18,14,3
18,9,4
18,25,3
18,23,2
19,24,5
19,9,3
19,1,3
19,10,3
19,8,2
19,32,3
19,21,4
19,16,2
19,26,2
19,25,4
19,0,5
19,23,3
19,4,2
19,33,2
19,22,3
19,29,4
19,14,5
19,11,3
19,6,5
19,27,4
19,18,5
19,15,3
19,19,3
20,13,3
20,9,2
20,6,2
20,0,3
20,23,5
20,32,5
20,21,3
20,22,2
20,29,4
20,33,4
20,30,2
20,15,3
20,17,4
20,20,2
20,27,2
20,1,4
20,12,3
20,16,3
